"CELLID","Cell_ID"
"002106","5671"
"002111","6443"
"003106","5672"
"003111","6444"
"004106","5673"
"004107","5828"
"004108","5983"
"004111","6445"
"005106","5674"
"005107","5829"
"005108","5984"
"005111","6446"
"006106","5675"
"006107","5830"
"006108","5985"
"006111","6447"
"007106","5676"
"007107","5831"
"007108","5986"
"007111","6448"
"008106","5677"
"008107","5832"
"008108","5987"
"008111","6449"
"009106","5678"
"009107","5833"
"009108","5988"
"009111","6450"
"010106","5679"
"010107","5834"
"010108","5989"
"010111","6451"
"011106","5680"
"011107","5835"
"011108","5990"
"011109","6139"
"011110","6289"
"011111","6452"
"012106","5681"
"012107","5836"
"012108","5991"
"012109","6140"
"012110","6290"
"012111","6453"
"013105","5535"
"013106","5682"
"013107","5837"
"013108","5992"
"013109","6141"
"013110","6291"
"013111","6454"
"014106","5683"
"014107","5838"
"014108","5993"
"014109","6142"
"014110","6292"
"014111","6455"
"015106","5684"
"015107","5839"
"015108","5994"
"015109","6143"
"015110","6293"
"015111","6456"
"016106","5685"
"016107","5840"
"016108","5995"
"016109","6144"
"016110","6294"
"016111","6457"
"016112","6604"
"016113","6708"
"017106","5686"
"017107","5841"
"017108","5996"
"017109","6145"
"017110","6295"
"017111","6458"
"018105","5536"
"018106","5687"
"018107","5842"
"018108","5997"
"018109","6146"
"018110","6296"
"018111","6459"
"018112","6605"
"019105","5537"
"019106","5688"
"019107","5843"
"019108","5998"
"019109","6147"
"019110","6297"
"019111","6460"
"019112","6606"
"020106","5689"
"020107","5844"
"020108","5999"
"020109","6148"
"020110","6298"
"020111","6461"
"021106","5690"
"021107","5845"
"021108","6000"
"021109","6149"
"021110","6299"
"021111","6462"
"022106","5691"
"022107","5846"
"022108","6001"
"022109","6150"
"022110","6300"
"022111","6463"
"022112","6607"
"023106","5692"
"023107","5847"
"023108","6002"
"023109","6151"
"023110","6301"
"023111","6464"
"024106","5693"
"024107","5848"
"024108","6003"
"024109","6152"
"024110","6302"
"024111","6465"
"025106","5694"
"025107","5849"
"025108","6004"
"025109","6153"
"025110","6303"
"025111","6466"
"026104","5406"
"026105","5538"
"026106","5695"
"026107","5850"
"026108","6005"
"026109","6154"
"026110","6304"
"026111","6467"
"026112","6608"
"026113","6709"
"026114","6785"
"027105","5539"
"027106","5696"
"027107","5851"
"027108","6006"
"027109","6155"
"027110","6305"
"027111","6468"
"028105","5540"
"028106","5697"
"028107","5852"
"028108","6007"
"028109","6156"
"028110","6306"
"028111","6469"
"029104","5407"
"029105","5541"
"029106","5698"
"029107","5853"
"029108","6008"
"029109","6157"
"029110","6307"
"029111","6470"
"030102","5150"
"030105","5542"
"030106","5699"
"030107","5854"
"030108","6009"
"030109","6158"
"030110","6308"
"030111","6471"
"031101","5035"
"031102","5151"
"031103","5277"
"031104","5408"
"031105","5543"
"031106","5700"
"031107","5855"
"031108","6010"
"031109","6159"
"031110","6309"
"031111","6472"
"032105","5544"
"032106","5701"
"032107","5856"
"032108","6011"
"032109","6160"
"032110","6310"
"032111","6473"
"033105","5545"
"033106","5702"
"033107","5857"
"033108","6012"
"033109","6161"
"033110","6311"
"033111","6474"
"034098","4807"
"034103","5278"
"034104","5409"
"034105","5546"
"034106","5703"
"034107","5858"
"034108","6013"
"034109","6162"
"034110","6312"
"034111","6475"
"035072","3392"
"035098","4808"
"035103","5279"
"035104","5410"
"035105","5547"
"035106","5704"
"035107","5859"
"035108","6014"
"035109","6163"
"035110","6313"
"035111","6476"
"036072","3393"
"036096","4717"
"036097","4760"
"036098","4809"
"036099","4864"
"036100","4939"
"036101","5036"
"036102","5152"
"036103","5280"
"036104","5411"
"036105","5548"
"036106","5705"
"036107","5860"
"036108","6015"
"036109","6164"
"036110","6314"
"036111","6477"
"037072","3394"
"037099","4865"
"037100","4940"
"037101","5037"
"037102","5153"
"037103","5281"
"037104","5412"
"037105","5549"
"037106","5706"
"037107","5861"
"037108","6016"
"037109","6165"
"037110","6315"
"037111","6478"
"038072","3395"
"038099","4866"
"038100","4941"
"038101","5038"
"038102","5154"
"038103","5282"
"038104","5413"
"038105","5550"
"038106","5707"
"038107","5862"
"038108","6017"
"038109","6166"
"038110","6316"
"038111","6479"
"039072","3396"
"039102","5155"
"039103","5283"
"039104","5414"
"039105","5551"
"039106","5708"
"039107","5863"
"039108","6018"
"039109","6167"
"039110","6317"
"039111","6480"
"040072","3397"
"040101","5039"
"040102","5156"
"040103","5284"
"040104","5415"
"040105","5552"
"040106","5709"
"040107","5864"
"040108","6019"
"040109","6168"
"040110","6318"
"040111","6481"
"040112","6609"
"040113","6710"
"040114","6786"
"040115","6853"
"040116","6914"
"041072","3398"
"041102","5157"
"041103","5285"
"041104","5416"
"041105","5553"
"041106","5710"
"041107","5865"
"041108","6020"
"041109","6169"
"041110","6319"
"041111","6482"
"042072","3399"
"042102","5158"
"042103","5286"
"042104","5417"
"042105","5554"
"042106","5711"
"042107","5866"
"042108","6021"
"042109","6170"
"042110","6320"
"042111","6483"
"043072","3400"
"043102","5159"
"043103","5287"
"043104","5418"
"043105","5555"
"043106","5712"
"043107","5867"
"043108","6022"
"043109","6171"
"043110","6321"
"043111","6484"
"043112","6610"
"044072","3401"
"044100","4942"
"044101","5040"
"044102","5160"
"044103","5288"
"044104","5419"
"044105","5556"
"044106","5713"
"044107","5868"
"044108","6023"
"044109","6172"
"044110","6322"
"044111","6485"
"045072","3402"
"045102","5161"
"045103","5289"
"045104","5420"
"045105","5557"
"045106","5714"
"045107","5869"
"045108","6024"
"045109","6173"
"045110","6323"
"045111","6486"
"046024","1071"
"046072","3403"
"046101","5041"
"046102","5162"
"046103","5290"
"046104","5421"
"046105","5558"
"046106","5715"
"046107","5870"
"046108","6025"
"046109","6174"
"046110","6324"
"046111","6487"
"047024","1072"
"047072","3404"
"047101","5042"
"047102","5163"
"047103","5291"
"047104","5422"
"047105","5559"
"047106","5716"
"047107","5871"
"047108","6026"
"047109","6175"
"047110","6325"
"047111","6488"
"048024","1073"
"048072","3405"
"048101","5043"
"048102","5164"
"048103","5292"
"048104","5423"
"048105","5560"
"048106","5717"
"048107","5872"
"048108","6027"
"048109","6176"
"048110","6326"
"048111","6489"
"049024","1074"
"049072","3406"
"049101","5044"
"049102","5165"
"049103","5293"
"049104","5424"
"049105","5561"
"049106","5718"
"049107","5873"
"049108","6028"
"049109","6177"
"049110","6327"
"049111","6490"
"050024","1075"
"050072","3407"
"050101","5045"
"050102","5166"
"050103","5294"
"050104","5425"
"050105","5562"
"050106","5719"
"050107","5874"
"050108","6029"
"050109","6178"
"050110","6328"
"050111","6491"
"051024","1076"
"051072","3408"
"051101","5046"
"051102","5167"
"051103","5295"
"051104","5426"
"051105","5563"
"051106","5720"
"051107","5875"
"051108","6030"
"051109","6179"
"051110","6329"
"051111","6492"
"052021","790"
"052024","1077"
"052072","3409"
"052097","4761"
"052098","4810"
"052099","4867"
"052100","4943"
"052101","5047"
"052102","5168"
"052103","5296"
"052104","5427"
"052105","5564"
"052106","5721"
"052107","5876"
"052108","6031"
"052109","6180"
"052110","6330"
"052111","6493"
"053021","791"
"053024","1078"
"053072","3410"
"053100","4944"
"053101","5048"
"053102","5169"
"053103","5297"
"053104","5428"
"053105","5565"
"053106","5722"
"053107","5877"
"053108","6032"
"053109","6181"
"053110","6331"
"053111","6494"
"054021","792"
"054023","976"
"054024","1079"
"054025","1174"
"054040","1796"
"054072","3411"
"054101","5049"
"054102","5170"
"054103","5298"
"054104","5429"
"054105","5566"
"054106","5723"
"054107","5878"
"054108","6033"
"054109","6182"
"054110","6332"
"054111","6495"
"055021","793"
"055023","977"
"055024","1080"
"055025","1175"
"055040","1797"
"055072","3412"
"055098","4811"
"055099","4868"
"055100","4945"
"055101","5050"
"055102","5171"
"055103","5299"
"055104","5430"
"055105","5567"
"055106","5724"
"055107","5879"
"055108","6034"
"055109","6183"
"055110","6333"
"055111","6496"
"056021","794"
"056023","978"
"056024","1081"
"056025","1176"
"056040","1798"
"056072","3413"
"056101","5051"
"056102","5172"
"056103","5300"
"056104","5431"
"056105","5568"
"056106","5725"
"056107","5880"
"056108","6035"
"056109","6184"
"056110","6334"
"056111","6497"
"057021","795"
"057023","979"
"057024","1082"
"057025","1177"
"057040","1799"
"057071","3292"
"057072","3414"
"057073","3515"
"057101","5052"
"057102","5173"
"057103","5301"
"057104","5432"
"057105","5569"
"057106","5726"
"057107","5881"
"057108","6036"
"057109","6185"
"057110","6335"
"057111","6498"
"058021","796"
"058023","980"
"058024","1083"
"058025","1178"
"058040","1800"
"058071","3293"
"058072","3415"
"058073","3516"
"058101","5053"
"058102","5174"
"058103","5302"
"058104","5433"
"058105","5570"
"058106","5727"
"058107","5882"
"058108","6037"
"058109","6186"
"058110","6336"
"058111","6499"
"058138","7964"
"059021","797"
"059023","981"
"059024","1084"
"059025","1179"
"059040","1801"
"059071","3294"
"059072","3416"
"059073","3517"
"059101","5054"
"059102","5175"
"059103","5303"
"059104","5434"
"059105","5571"
"059106","5728"
"059107","5883"
"059108","6038"
"059109","6187"
"059110","6337"
"059111","6500"
"059138","7965"
"060020","711"
"060021","798"
"060022","887"
"060023","982"
"060024","1085"
"060025","1180"
"060040","1802"
"060044","2100"
"060071","3295"
"060072","3417"
"060073","3518"
"060101","5055"
"060102","5176"
"060103","5304"
"060104","5435"
"060105","5572"
"060106","5729"
"060107","5884"
"060108","6039"
"060109","6188"
"060110","6338"
"060111","6501"
"060114","6787"
"060138","7966"
"061021","799"
"061022","888"
"061023","983"
"061024","1086"
"061025","1181"
"061040","1803"
